date,country,cases,deaths
2/16/2015,Liberia,3149,0
2/16/2015,Mali,7,0
2/16/2015,Nigeria,19,7
2/16/2015,Senegal,1,0
2/16/2015,Sierra Leone,8199,3035
2/16/2015,Spain,1,0
2/16/2015,United Kingdom,1,0
2/16/2015,US ,4,1
2/17/2015,Guinea,2727,1683
2/17/2015,Liberia,3149,0
2/17/2015,Mali,7,0
2/17/2015,Nigeria,19,7
2/17/2015,Senegal,1,0
2/17/2015,Sierra Leone,8212,3042
2/17/2015,Spain,1,0
2/17/2015,United Kingdom,1,0
2/17/2015,US ,4,1
2/18/2015,Guinea,2727,1683
2/18/2015,Liberia,3149,0
2/18/2015,Mali,7,0
2/18/2015,Nigeria,19,7
2/18/2015,Senegal,1,0
2/18/2015,Sierra Leone,8212,3042
2/18/2015,Spain,1,0
2/18/2015,United Kingdom,1,0
2/18/2015,US ,4,1
2/19/2015,Guinea,2732,1686
2/19/2015,Liberia,3152,0
2/19/2015,Mali,7,0
2/19/2015,Nigeria,19,7
2/19/2015,Senegal,1,0
2/19/2015,Sierra Leone,8223,3057
2/19/2015,Spain,1,0
2/19/2015,United Kingdom,1,0
2/19/2015,US ,4,1
2/20/2015,Guinea,2734,1688
2/20/2015,Liberia,3152,0
2/20/2015,Mali,7,0
2/20/2015,Nigeria,19,7
2/20/2015,Senegal,1,0
2/20/2015,Sierra Leone,8223,3057
2/20/2015,Spain,1,0
2/20/2015,United Kingdom,1,0
2/20/2015,US ,4,1
2/23/2015,Guinea,2758,1699
2/23/2015,Liberia,3153,0
2/23/2015,Mali,7,0
2/23/2015,Nigeria,19,7
2/23/2015,Senegal,1,0
2/23/2015,Sierra Leone,8223,3057
2/23/2015,Spain,1,0
2/23/2015,United Kingdom,1,0
2/23/2015,US ,4,1
2/25/2015,Guinea,2762,1704
2/25/2015,Liberia,3153,0
2/25/2015,Mali,7,0
2/25/2015,Nigeria,19,7
2/25/2015,Senegal,1,0
2/25/2015,Sierra Leone,8289,3095
2/25/2015,Spain,1,0
2/25/2015,United Kingdom,1,0
2/25/2015,US ,4,1
2/26/2015,Guinea,2781,1714
2/26/2015,Liberia,3153,0
2/26/2015,Mali,7,0
2/26/2015,Nigeria,19,7
2/26/2015,Senegal,1,0
2/26/2015,Sierra Leone,8308,3113
2/26/2015,Spain,1,0
2/26/2015,United Kingdom,1,0
2/26/2015,US ,4,1
2/27/2015,Guinea,2790,1721
2/27/2015,Liberia,3153,0
2/27/2015,Mali,7,0
2/27/2015,Nigeria,19,7
2/27/2015,Senegal,1,0
2/27/2015,Sierra Leone,8320,3124
2/27/2015,Spain,1,0
2/27/2015,United Kingdom,1,0
2/27/2015,US ,4,1
3/2/2015,Guinea,2808,1735
3/2/2015,Liberia,3153,0
3/2/2015,Mali,7,0
3/2/2015,Nigeria,19,7
3/2/2015,Senegal,1,0
3/2/2015,Sierra Leone,8353,3164
3/2/2015,Spain,1,0
3/2/2015,United Kingdom,1,0
3/2/2015,US ,4,1
3/4/2015,Guinea,2808,1735
3/4/2015,Liberia,3153,0
3/4/2015,Mali,7,0
3/4/2015,Nigeria,19,7
3/4/2015,Senegal,1,0
3/4/2015,Sierra Leone,8353,3164
3/4/2015,Spain,1,0
3/4/2015,United Kingdom,1,0
3/4/2015,US ,4,1
3/5/2015,Guinea,2833,1749
3/5/2015,Liberia,3150,0
3/5/2015,Mali,7,0
3/5/2015,Nigeria,19,7
3/5/2015,Senegal,1,0
3/5/2015,Sierra Leone,8383,3199
3/5/2015,Spain,1,0
3/5/2015,United Kingdom,1,0
3/5/2015,US ,4,1
3/6/2015,Guinea,2840,1755
3/6/2015,Liberia,3150,0
3/6/2015,Mali,7,0
3/6/2015,Nigeria,19,7
3/6/2015,Senegal,1,0
3/6/2015,Sierra Leone,8389,3210
3/6/2015,Spain,1,0
3/6/2015,United Kingdom,1,0
3/6/2015,US ,4,1
3/10/2015,Guinea,2871,1778
3/10/2015,Liberia,3150,0
3/10/2015,Mali,7,0
3/10/2015,Nigeria,19,7
3/10/2015,Senegal,1,0
3/10/2015,Sierra Leone,8428,3263
3/10/2015,Spain,1,0
3/10/2015,United Kingdom,1,0
3/10/2015,US ,4,1
3/11/2015,Guinea,2871,1778
3/11/2015,Liberia,3150,0
3/11/2015,Mali,7,0
3/11/2015,Nigeria,19,7
3/11/2015,Senegal,1,0
3/11/2015,Sierra Leone,8428,3263
3/11/2015,Spain,1,0
3/11/2015,United Kingdom,1,0
3/11/2015,US ,4,1
3/12/2015,Guinea,2901,1792
3/12/2015,Liberia,3150,0
3/12/2015,Mali,7,0
3/12/2015,Nigeria,19,7
3/12/2015,Senegal,1,0
3/12/2015,Sierra Leone,8463,3289
3/12/2015,Spain,1,0
3/12/2015,United Kingdom,1,0
3/12/2015,US ,4,1
3/13/2015,Guinea,2911,1797
3/13/2015,Liberia,3150,0
3/13/2015,Mali,7,0
3/13/2015,Nigeria,19,7
3/13/2015,Senegal,1,0
3/13/2015,Sierra Leone,8469,3297
3/13/2015,Spain,1,0
3/13/2015,United Kingdom,1,0
3/13/2015,US ,4,1
3/16/2015,Guinea,2957,1821
3/16/2015,Liberia,3150,0
3/16/2015,Mali,7,0
3/16/2015,Nigeria,19,7
3/16/2015,Senegal,1,0
3/16/2015,Sierra Leone,8484,3321
3/16/2015,Spain,1,0
3/16/2015,United Kingdom,1,0
3/16/2015,US ,4,1
3/17/2015,Guinea,2966,1829
3/17/2015,Liberia,3150,0
3/17/2015,Mali,7,0
3/17/2015,Nigeria,19,7
3/17/2015,Senegal,1,0
3/17/2015,Sierra Leone,8487,3325
3/17/2015,Spain,1,0
3/17/2015,United Kingdom,1,0
3/17/2015,US ,4,1
3/18/2015,Guinea,2966,1829
3/18/2015,Liberia,3150,0
3/18/2015,Mali,7,0
3/18/2015,Nigeria,19,7
3/18/2015,Senegal,1,0
3/18/2015,Sierra Leone,8487,3325
3/18/2015,Spain,1,0
3/18/2015,United Kingdom,1,0
3/18/2015,US ,4,1
3/20/2015,Guinea,2988,1846
3/20/2015,Liberia,3150,0
3/20/2015,Mali,7,0
3/20/2015,Nigeria,19,7
3/20/2015,Senegal,1,0
3/20/2015,Sierra Leone,8508,3346
3/20/2015,Spain,1,0
3/20/2015,United Kingdom,1,0
3/20/2015,US ,4,1
3/23/2015,Guinea,3007,1863
3/23/2015,Liberia,3151,0
3/23/2015,Mali,7,0
3/23/2015,Nigeria,19,7
3/23/2015,Senegal,1,0
3/23/2015,Sierra Leone,8518,3376
3/23/2015,Spain,1,0
3/23/2015,United Kingdom,1,0
3/23/2015,US ,4,1
3/24/2015,Guinea,3011,1865
3/24/2015,Liberia,3151,0
3/24/2015,Mali,7,0
3/24/2015,Nigeria,19,7
3/24/2015,Senegal,1,0
3/24/2015,Sierra Leone,8520,3381
3/24/2015,Spain,1,0
3/24/2015,United Kingdom,1,0
3/24/2015,US ,4,1
3/25/2015,Guinea,3011,1865
3/25/2015,Liberia,3151,0
3/25/2015,Mali,7,0
3/25/2015,Nigeria,19,7
3/25/2015,Senegal,1,0
3/25/2015,Sierra Leone,8520,3381
3/25/2015,Spain,1,0
3/25/2015,United Kingdom,1,0
3/25/2015,US ,4,1
3/26/2015,Guinea,3032,1875
3/26/2015,Liberia,3151,0
3/26/2015,Mali,7,0
3/26/2015,Nigeria,19,7
3/26/2015,Senegal,1,0
3/26/2015,Sierra Leone,8529,3398
3/26/2015,Spain,1,0
3/26/2015,United Kingdom,1,0
3/26/2015,US ,4,1
3/27/2015,Guinea,3042,1878
3/27/2015,Liberia,3151,0
3/27/2015,Mali,7,0
3/27/2015,Nigeria,19,7
3/27/2015,Senegal,1,0
3/27/2015,Sierra Leone,8532,3407
3/27/2015,Spain,1,0
3/27/2015,United Kingdom,1,0
3/27/2015,US ,4,1
4/7/2015,Guinea,3089,1919
4/7/2015,Liberia,3151,0
4/7/2015,Mali,7,0
4/7/2015,Nigeria,19,7
4/7/2015,Senegal,1,0
4/7/2015,Sierra Leone,8555,3466
4/7/2015,Spain,1,0
4/7/2015,United Kingdom,1,0
4/7/2015,US ,4,1
